,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,SBIN,BHARTI,ITC,KOTAKBANK,HINDUNILVR
2021-01-01,2420.2758656934716,3206.0400387049385,1518.0221515047988,1734.443885547737,787.2539248025055,453.21556992116575,669.342100588802,223.14178858176277,1808.328918423358,2333.83204510175
2021-01-04,2404.095311344935,3180.0016455498762,1515.4171375755257,1685.9245429749847,770.3722460590045,443.6961614103668,653.3034455719645,222.73338418636231,1772.2648399135921,2293.6922465129296
2021-01-05,2461.6841737455334,3201.8445235773825,1533.7410069455775,1671.4327303031012,777.1075038699817,449.32966336326314,646.1832767016389,224.3592493474548,1777.372942217259,2298.251239998775
2021-01-06,2439.907255414148,3265.4512473576583,1535.7286218841905,1677.247342529517,783.9079000856584,445.8966130068606,651.0945883939937,219.5408279182931,1764.9722320904161,2283.7196293685715
2021-01-07,2469.9059222919554,3289.131145609723,1543.8258648561184,1682.7998981893152,777.2157012895873,440.5844618345617,647.5597816945659,222.3449794485256,1763.7427679207221,2259.28952718613
2021-01-08,2484.009981376513,3281.75358265423,1533.3932067300257,1690.9064217318291,782.7585466593974,446.62426176241934,640.8298710059013,221.60761497292523,1773.6476579292828,2276.0914220371837
2021-01-11,2466.791146780798,3266.0817699692707,1506.2716918968258,1659.050213499206,777.2634146919302,449.1903389971998,636.7005440346319,223.55060845700098,1767.5575839467726,2265.1300766204668
2021-01-12,2482.3356188514776,3338.0243405919614,1517.759188775073,1719.57029082073,762.6494163835647,448.53212981416993,641.254511425106,223.0177233522651,1762.369083615573,2221.382797014134
2021-01-13,2475.223436937353,3349.891843506719,1545.741266355847,1716.9541918445686,766.7030194886532,450.24794450875964,652.0794162780995,224.498579576968,1766.7983593283525,2244.3387462559076
2021-01-14,2480.4742580361917,3394.039612640904,1538.620657010499,1727.997500944258,761.6613978590633,440.09191950491675,655.3285929445356,225.17769453123893,1756.7556282777703,2243.471662433653
2021-01-15,2427.2284690690835,3348.4153730160215,1513.6203402216618,1690.4769914764322,746.8663884482909,433.88928629524827,666.0234230293127,224.70800395186382,1735.982155285992,2234.3793981088447
2021-01-18,2356.370544091834,3309.1522032879157,1492.4997011426933,1717.9375826298706,732.8859429054072,427.0482753758383,660.0494311408494,220.3796592568841,1729.0101858364658,2224.017921036675
2021-01-19,2387.317594364381,3289.9410977470347,1524.609177448609,1687.254696494956,751.5471667781751,449.30215560910545,655.4168223000331,219.86779119244312,1765.04649329523,2215.8437388616053
2021-01-20,2331.099429308505,3262.6731324593125,1487.0894769821048,1680.0741001987005,726.2746908894962,442.96531115365315,639.9465088934653,217.13095370279535,1739.193245034905,2165.1745050819104
2021-01-21,2340.8461098064754,3322.2493073214905,1466.6119166672163,1706.2001161381174,721.8538774583275,443.23805183910315,630.3950344939765,213.52679339315688,1738.9211710711522,2152.7193942273616
